acctnum,gender,first,last,book_,nonbook_,total_,purch,child,youth,cook,do_it,refernce,art,geog,subscribe
10163,F,11,11,15,298,313,1,0,0,1,0,0,0,0,no
10164,F,1,1,15,198,213,1,0,0,0,0,0,1,0,no
10165,F,7,3,28,230,258,2,0,1,0,0,0,1,0,no
10166,F,11,11,15,12,27,1,0,0,1,0,0,0,0,no
10167,M/NB,25,11,77,29,106,7,3,0,2,0,0,2,0,no
10168,F,13,13,15,41,56,1,0,0,1,0,0,0,0,no
10169,F,9,9,15,228,243,1,0,0,0,0,0,0,1,no
10170,F,13,9,25,32,57,2,0,0,2,0,0,0,0,no
10171,F,23,23,15,5,20,1,0,0,1,0,0,0,0,no
10172,F,15,15,15,195,210,1,1,0,0,0,0,0,0,no
10173,F,11,11,15,237,252,1,1,0,0,0,0,0,0,no
10174,F,23,23,15,288,303,1,0,0,0,0,0,1,0,no
10175,F,5,3,29,23,52,2,1,0,0,0,0,0,1,no
10176,F,67,13,122,171,293,10,0,1,3,1,3,0,2,no
10177,F,57,9,136,158,294,12,5,1,4,0,0,0,2,no
10178,M/NB,17,13,29,101,130,2,1,0,0,0,0,0,1,yes
10179,F,31,23,28,89,117,2,0,0,1,0,0,1,0,no
10180,F,5,5,15,293,308,1,0,0,0,0,0,1,0,yes
10181,F,3,1,26,275,301,2,0,0,1,1,0,0,0,no
10182,F,21,15,29,4,33,2,0,0,0,1,0,0,1,no
10183,M/NB,65,9,137,195,332,12,3,3,5,0,0,1,0,no
10184,F,21,21,15,107,122,1,1,0,0,0,0,0,0,no
10185,F,25,1,102,239,341,9,1,3,3,0,1,0,1,no
10186,F,19,17,29,103,132,2,1,0,0,0,0,0,1,no
10187,F,27,5,73,289,362,6,0,1,1,0,1,2,1,yes
10188,F,39,31,29,190,219,2,0,0,1,0,0,0,1,no
10189,M/NB,23,11,34,284,318,3,0,1,2,0,0,0,0,no
10190,F,9,9,15,184,199,1,0,0,0,1,0,0,0,no
10191,F,29,25,23,301,324,2,2,0,0,0,0,0,0,no
10192,M/NB,17,1,50,283,333,4,1,0,1,0,0,1,1,no
10193,F,3,3,15,48,63,1,0,0,0,1,0,0,0,no
10194,F,57,17,86,177,263,7,2,0,1,0,1,1,2,no
10195,F,37,35,29,117,146,2,0,0,1,0,0,0,1,no
10196,F,17,9,28,223,251,2,1,0,0,0,0,1,0,yes
10197,F,13,7,29,46,75,2,0,0,1,0,0,0,1,no
10198,F,11,11,15,269,284,1,0,0,0,0,0,0,1,no
10199,F,57,13,97,74,171,8,1,0,1,2,1,1,2,no
10200,M/NB,71,33,142,106,248,12,4,0,1,2,2,2,1,no
10201,F,1,1,15,42,57,1,0,0,0,0,0,0,1,no
10202,M/NB,73,33,129,131,260,11,0,2,3,5,0,1,0,no
10203,F,53,3,113,67,180,10,2,0,5,1,1,0,1,no
10204,F,19,15,24,227,251,2,1,1,0,0,0,0,0,no
10205,F,19,9,38,265,303,3,1,0,1,0,0,1,0,no
10206,M/NB,69,11,123,259,382,11,2,0,5,2,1,1,0,no
10207,F,1,1,15,299,314,1,0,0,1,0,0,0,0,no
10208,F,31,25,29,3,32,2,1,0,0,0,0,0,1,no
10209,F,27,5,70,196,266,6,0,1,3,0,1,0,1,no
10210,M/NB,41,15,140,138,278,12,2,1,5,0,0,1,3,no
10211,F,15,15,15,234,249,1,1,0,0,0,0,0,0,yes
10212,F,11,11,15,137,152,1,1,0,0,0,0,0,0,no
10213,F,21,7,38,64,102,3,0,0,2,0,0,1,0,no
10214,M/NB,23,23,15,162,177,1,0,0,0,0,0,1,0,no
10215,M/NB,9,9,15,199,214,1,1,0,0,0,0,0,0,no
10216,M/NB,17,11,28,250,278,2,0,0,0,1,0,1,0,no
10217,M/NB,25,21,27,137,164,2,0,0,1,0,1,0,0,no
10218,F,7,5,29,242,271,2,0,1,0,0,0,0,1,no
10219,F,15,15,15,24,39,1,0,1,0,0,0,0,0,no
10220,M/NB,73,25,138,277,415,12,5,1,0,2,1,1,2,no
10221,F,17,13,27,96,123,2,1,0,0,0,1,0,0,no
10222,F,17,13,29,40,69,2,0,0,1,0,0,0,1,no
10223,F,49,13,117,194,311,9,0,0,2,1,0,0,6,yes
10224,F,11,11,15,18,33,1,0,1,0,0,0,0,0,no
10225,F,15,15,15,157,172,1,0,0,0,0,1,0,0,no
10226,F,19,15,25,211,236,2,0,1,1,0,0,0,0,no
10227,F,3,3,15,91,106,1,0,0,0,0,1,0,0,no
10228,M/NB,25,3,97,318,415,9,1,3,2,2,0,0,1,no
10229,F,21,3,62,157,219,5,0,0,4,0,1,0,0,no
10230,M/NB,11,7,26,154,180,2,0,1,0,1,0,0,0,yes
10231,M/NB,33,29,28,199,227,2,1,0,0,0,0,1,0,yes
10232,F,9,5,29,237,266,2,1,0,0,0,0,0,1,no
10233,M/NB,57,15,122,315,437,11,5,0,2,2,0,2,0,no
10234,F,9,9,15,173,188,1,1,0,0,0,0,0,0,no
10235,M/NB,37,9,74,211,285,6,0,0,2,2,0,1,1,no
10236,M/NB,33,5,105,203,308,9,0,2,3,0,2,0,2,no
10237,M/NB,35,31,25,137,162,2,0,0,2,0,0,0,0,no
10238,F,65,25,139,232,371,12,3,2,4,0,1,0,2,no
10239,F,1,1,15,29,44,1,0,0,1,0,0,0,0,yes
10240,F,23,23,15,100,115,1,0,0,0,0,0,1,0,no
10241,F,37,29,29,192,221,2,0,1,0,0,0,0,1,no
10242,M/NB,53,33,83,157,240,8,3,2,2,0,0,0,1,no
10243,M/NB,3,1,24,79,103,2,1,1,0,0,0,0,0,no
10244,M/NB,21,1,93,256,349,8,2,0,1,0,1,3,1,yes
10245,M/NB,61,25,133,195,328,12,2,3,0,2,3,2,0,no
10246,M/NB,43,15,66,40,106,6,1,2,0,2,1,0,0,no
10247,F,15,15,15,152,167,1,0,1,0,0,0,0,0,no
10248,M/NB,17,7,49,38,87,4,0,0,2,1,0,1,0,no
10249,F,13,5,25,254,279,2,1,0,1,0,0,0,0,no
10250,F,15,15,15,81,96,1,0,0,0,0,0,1,0,no
10251,F,11,11,15,47,62,1,1,0,0,0,0,0,0,no
10252,F,21,21,15,116,131,1,0,0,1,0,0,0,0,no
10253,M/NB,15,13,29,257,286,2,0,0,0,0,0,1,1,no
10254,F,19,19,15,168,183,1,1,0,0,0,0,0,0,no
10255,F,9,5,29,117,146,2,0,0,0,0,1,0,1,no
10256,F,35,31,25,108,133,2,1,0,1,0,0,0,0,no
10257,F,29,27,25,169,194,2,1,0,1,0,0,0,0,no
10258,M/NB,35,27,29,151,180,2,0,0,1,0,0,0,1,no
10259,M/NB,69,1,136,190,326,12,2,1,2,2,0,2,3,no
10260,M/NB,33,25,25,71,96,2,0,1,1,0,0,0,0,no
10261,F,27,5,57,113,170,5,1,0,3,0,0,0,1,no
10262,F,47,15,113,295,408,10,3,0,3,1,0,1,2,no
10263,M/NB,13,13,15,17,32,1,0,0,0,0,0,1,0,no
10264,F,13,13,15,219,234,1,0,1,0,0,0,0,0,no
10265,F,65,11,117,235,352,11,5,1,3,1,0,1,0,no
10266,F,31,11,91,228,319,8,2,1,1,1,2,0,1,no
10267,F,31,9,58,184,242,5,1,0,2,0,1,1,0,no
10268,M/NB,11,5,26,270,296,2,1,0,0,1,0,0,0,no
10269,M/NB,61,3,135,94,229,12,2,1,6,0,1,0,2,no
10270,F,11,3,29,235,264,2,0,0,1,0,0,0,1,no
10271,F,55,1,117,69,186,10,2,1,1,2,1,1,2,yes
10272,M/NB,35,11,124,336,460,11,3,0,2,3,1,0,2,no
10273,F,13,13,15,116,131,1,0,0,0,0,1,0,0,no
10274,F,13,13,15,297,312,1,0,0,1,0,0,0,0,no
10275,F,9,5,23,55,78,2,2,0,0,0,0,0,0,no
10276,F,57,13,104,92,196,9,1,1,2,1,2,1,1,no
10277,F,43,15,79,144,223,7,2,1,1,1,0,2,0,no
10278,F,3,3,15,291,306,1,0,0,0,0,0,1,0,no
10279,F,21,15,26,22,48,2,0,0,0,2,0,0,0,no
10280,M/NB,37,29,34,260,294,3,1,0,0,1,0,0,1,no
10281,F,27,27,15,57,72,1,0,0,1,0,0,0,0,no
10282,M/NB,51,13,121,164,285,11,2,0,3,4,0,1,1,no
10283,F,11,11,15,150,165,1,0,0,1,0,0,0,0,no
10284,F,39,3,79,186,265,7,1,1,1,2,0,2,0,no
10285,M/NB,25,15,63,238,301,5,0,0,1,2,0,1,1,no
10286,M/NB,5,5,15,69,84,1,0,0,0,0,1,0,0,yes
10287,M/NB,25,21,23,123,146,2,2,0,0,0,0,0,0,no
10288,M/NB,57,35,111,201,312,10,2,2,2,1,1,1,1,no
10289,F,21,13,34,20,54,3,1,1,1,0,0,0,0,no
10290,F,17,9,23,173,196,2,2,0,0,0,0,0,0,no
10291,F,45,11,80,324,404,7,2,1,1,1,0,1,1,no
10292,F,15,11,28,282,310,2,1,0,0,0,0,1,0,no
10293,M/NB,33,1,145,98,243,12,3,0,4,1,1,1,2,no
10294,F,23,15,28,296,324,2,0,0,0,1,0,1,0,no
10295,M/NB,57,15,104,264,368,9,0,2,2,2,1,2,0,no
10296,M/NB,5,3,26,44,70,2,1,0,0,1,0,0,0,no
10297,F,13,11,26,250,276,2,1,0,0,1,0,0,0,no
10298,F,43,11,90,69,159,8,1,1,3,1,0,1,1,no
10299,F,31,27,25,288,313,2,1,0,1,0,0,0,0,no
10300,F,23,23,15,121,136,1,0,0,0,0,1,0,0,no
10301,M/NB,59,11,132,225,357,12,2,4,2,2,0,2,0,no
10302,M/NB,11,11,15,132,147,1,0,1,0,0,0,0,0,no
10303,F,15,15,15,92,107,1,0,1,0,0,0,0,0,no
10304,F,71,7,127,245,372,11,3,1,1,1,1,2,2,no
10305,M/NB,9,9,15,220,235,1,0,1,0,0,0,0,0,no
10306,M/NB,53,21,114,151,265,10,2,0,3,3,1,0,1,no
10307,M/NB,25,1,47,81,128,4,1,1,1,0,0,0,1,no
10308,F,3,3,15,216,231,1,0,0,0,1,0,0,0,no
10309,F,5,1,26,168,194,2,0,0,1,1,0,0,0,no
10310,F,23,15,28,236,264,2,0,1,0,0,0,1,0,no
10311,F,17,3,35,225,260,3,1,0,0,1,1,0,0,no
10312,F,73,35,112,329,441,10,3,1,3,1,1,0,1,no
10313,M/NB,13,11,26,7,33,2,0,1,0,1,0,0,0,no
10314,F,19,9,68,304,372,5,0,0,0,0,2,1,2,no
10315,F,21,21,15,48,63,1,0,0,0,0,0,0,1,no
10316,M/NB,19,15,29,34,63,2,0,0,0,1,0,0,1,no
10317,F,15,9,29,4,33,2,0,0,1,0,0,0,1,no
10318,M/NB,51,17,119,37,156,10,1,0,2,2,2,2,1,no
10319,M/NB,9,3,26,19,45,2,0,0,1,1,0,0,0,no
10320,F,25,1,138,58,196,12,3,2,2,1,0,0,4,no
10321,F,7,7,15,161,176,1,0,0,1,0,0,0,0,no
10322,F,3,3,15,205,220,1,0,0,1,0,0,0,0,no
10323,M/NB,33,9,131,153,284,12,3,0,2,4,1,1,1,no
10324,F,5,5,15,259,274,1,0,0,0,1,0,0,0,no
10325,M/NB,31,15,64,252,316,6,3,1,0,1,0,1,0,no
10326,F,17,11,29,230,259,2,0,0,0,0,1,0,1,no
10327,F,9,1,23,68,91,2,2,0,0,0,0,0,0,no
10328,F,43,9,119,300,419,11,6,0,4,0,1,0,0,no
10329,F,15,15,15,298,313,1,1,0,0,0,0,0,0,no
10330,M/NB,43,5,119,92,211,11,3,2,3,0,0,2,1,no
10331,F,13,13,15,220,235,1,0,1,0,0,0,0,0,no
10332,M/NB,23,23,15,291,306,1,1,0,0,0,0,0,0,no
10333,F,33,29,25,255,280,2,0,1,1,0,0,0,0,no
10334,M/NB,17,17,15,14,29,1,0,0,0,0,0,0,1,no
10335,F,15,9,29,59,88,2,0,0,1,0,0,0,1,no
10336,M/NB,47,11,85,70,155,8,2,1,3,1,0,0,1,no
10337,F,7,7,15,216,231,1,0,0,1,0,0,0,0,no
10338,F,55,9,104,174,278,9,1,2,2,0,0,0,4,no
10339,F,15,5,36,35,71,3,0,1,1,0,1,0,0,no
10340,F,37,27,38,282,320,3,0,0,2,0,0,1,0,no
10341,F,15,15,15,97,112,1,0,0,1,0,0,0,0,no
10342,M/NB,17,7,49,60,109,4,0,0,3,0,0,0,1,no
10343,F,19,19,15,270,285,1,0,0,1,0,0,0,0,no
10344,F,19,17,25,90,115,2,1,0,1,0,0,0,0,no
10345,F,9,3,26,208,234,2,1,0,0,1,0,0,0,no
10346,F,53,1,103,314,417,9,1,1,3,1,1,0,2,no
10347,F,39,7,82,23,105,7,1,1,1,0,2,0,2,no
10348,F,13,13,15,13,28,1,0,0,0,0,1,0,0,no
10349,F,19,19,15,82,97,1,0,0,0,0,0,1,0,no
10350,M/NB,1,1,15,197,212,1,0,0,1,0,0,0,0,no
10351,F,25,25,15,34,49,1,0,1,0,0,0,0,0,no
10352,F,37,35,29,241,270,2,0,0,1,0,0,0,1,no
10353,M/NB,27,9,41,276,317,3,0,0,0,0,1,1,1,no
10354,M/NB,31,21,39,10,49,3,0,0,1,1,0,1,0,no
10355,M/NB,75,13,135,122,257,12,2,1,3,1,2,2,1,no
10356,M/NB,67,15,108,81,189,9,1,0,1,3,1,1,2,no
10357,F,41,7,115,96,211,10,3,0,2,0,0,1,4,no
10358,F,17,15,28,113,141,2,0,0,0,1,0,1,0,no
10359,M/NB,31,9,76,267,343,7,3,1,0,1,1,1,0,no
10360,F,31,15,35,57,92,3,0,1,0,1,0,1,0,no
10361,M/NB,29,23,24,49,73,2,1,1,0,0,0,0,0,no
10362,F,45,9,94,129,223,8,1,1,1,1,0,2,2,no
10363,M/NB,39,31,24,286,310,2,1,1,0,0,0,0,0,no
10364,F,49,9,92,260,352,8,3,3,0,0,0,0,2,no
10365,F,13,13,15,146,161,1,0,0,0,0,0,0,1,no
10366,F,51,27,141,205,346,12,3,1,3,1,0,3,1,no
10367,F,25,25,15,40,55,1,0,0,1,0,0,0,0,no
10368,F,35,9,93,44,137,9,3,0,4,1,0,1,0,no
10369,F,17,13,26,7,33,2,0,0,1,1,0,0,0,no
10370,F,23,11,34,287,321,3,0,1,1,0,1,0,0,no
10371,F,9,7,27,193,220,2,0,0,1,0,1,0,0,no
10372,F,1,1,15,134,149,1,1,0,0,0,0,0,0,no
10373,F,13,13,15,276,291,1,0,0,1,0,0,0,0,no
10374,F,21,17,29,172,201,2,0,1,0,0,0,0,1,no
10375,F,5,5,15,287,302,1,0,0,1,0,0,0,0,no
10376,F,11,11,15,268,283,1,0,0,0,1,0,0,0,no
10377,F,49,25,82,92,174,8,2,3,2,0,0,1,0,no
10378,F,23,3,70,85,155,6,1,1,2,0,0,0,2,no
10379,F,21,15,27,87,114,2,0,0,1,0,1,0,0,no
10380,F,9,7,24,18,42,2,1,1,0,0,0,0,0,no
10381,F,21,3,83,124,207,7,2,1,1,0,0,1,2,yes
10382,F,29,29,15,58,73,1,0,0,1,0,0,0,0,no
10383,M/NB,87,27,138,245,383,12,4,1,1,2,2,1,1,no
10384,M/NB,25,13,41,299,340,4,3,0,1,0,0,0,0,no
10385,F,5,5,15,290,305,1,0,0,0,0,0,0,1,no
10386,F,9,5,29,72,101,2,1,0,0,0,0,0,1,no
10387,M/NB,49,9,106,246,352,10,3,2,2,1,1,0,1,no
10388,F,7,7,15,259,274,1,0,0,0,0,0,1,0,no
10389,F,53,13,104,272,376,9,3,0,1,2,0,1,2,no
10390,F,31,27,29,182,211,2,0,0,1,0,0,0,1,no
10391,F,37,13,100,43,143,9,2,2,1,1,1,2,0,no
10392,F,23,13,39,142,181,3,0,0,2,0,0,0,1,no
10393,F,9,7,25,81,106,2,1,0,1,0,0,0,0,no
10394,F,1,1,15,272,287,1,0,1,0,0,0,0,0,no
10395,M/NB,37,15,54,127,181,5,2,0,2,1,0,0,0,no
10396,F,15,15,15,250,265,1,0,1,0,0,0,0,0,no
10397,F,11,7,26,228,254,2,0,1,0,1,0,0,0,no
10398,M/NB,9,3,27,295,322,2,1,0,0,0,1,0,0,no
10399,F,19,19,15,154,169,1,0,0,1,0,0,0,0,no
10400,M/NB,3,1,25,236,261,2,1,0,1,0,0,0,0,no
10401,F,27,15,58,297,355,5,1,0,2,0,1,1,0,no
10402,F,9,9,15,72,87,1,1,0,0,0,0,0,0,no
10403,F,19,13,29,278,307,2,0,0,0,0,0,1,1,no
10404,F,15,9,28,167,195,2,0,0,1,0,0,1,0,no
10405,M/NB,25,23,28,15,43,2,1,0,0,0,0,1,0,no
10406,F,17,17,15,263,278,1,0,0,1,0,0,0,0,no
10407,F,1,1,15,295,310,1,0,0,0,0,0,0,1,no
10408,F,17,13,29,40,69,2,1,0,0,0,0,0,1,no
